ticker,portfolio,fill_date,shares,entry_price,sector,xgb_score,xgb_rank,lgb_score,lgb_rank,ge_score,ge_rank,ensemble_score,ensemble_rank
AMAT,ensemble,2026-03-02,180.771351,368.79,Information Technology,97.6143,13,97.8131,12,95.6262,23,97.2167,13
ANET,ensemble,2026-03-02,514.204911,129.65,Information Technology,98.8072,7,97.4155,14,97.6143,13,98.5686,6
AVGO,ensemble,2026-03-02,215.498664,309.36,Information Technology,98.6083,8,95.6262,23,95.0298,26,97.8926,10
BA,ensemble,2026-03-02,294.985251,226.0,Industrials,98.2107,10,95.825,22,93.837,32,97.336,11
FIX,ensemble,2026-03-02,47.43203,1405.52,Industrials,98.0119,11,98.0119,11,98.6083,8,98.1312,8
FTNT,ensemble,2026-03-02,851.534892,78.29,Information Technology,97.4155,14,95.0298,26,96.6203,18,97.2565,12
GOOGL,ensemble,2026-03-02,219.927644,303.13,Communication Services,96.7197,17,94.6322,28,98.0119,11,96.9781,15
MNST,ensemble,2026-03-02,787.696186,84.635,Consumer Staples,97.2167,15,91.6501,43,97.0179,16,97.1769,14
MU,ensemble,2026-03-02,166.056409,401.47,Information Technology,99.4036,4,99.8012,2,99.2048,5,99.3638,4
NVDA,ensemble,2026-03-02,381.388253,174.8,Information Technology,99.6024,3,96.6203,18,99.4036,4,99.5626,3
PLTR,ensemble,2026-03-02,473.568934,140.775,Information Technology,99.8012,2,97.6143,13,100.0,1,99.841,2
SNDK,ensemble,2026-03-02,107.762395,618.645,Information Technology,100.0,1,98.4095,9,99.8012,2,99.9602,1
SOLV,ensemble,2026-03-02,909.132233,73.33,Health Care,98.4095,9,94.0358,31,96.8191,17,98.0915,9
TER,ensemble,2026-03-02,214.707461,310.5,Information Technology,99.2048,5,98.8072,7,98.8072,7,99.1252,5
TPR,ensemble,2026-03-02,439.000834,151.86,Consumer Discretionary,99.006,6,96.4215,19,96.2227,20,98.4493,7
ABBV,growth-evaluator,2026-03-02,285.314845,233.66,Health Care,24.8509,379,27.2366,367,98.2107,10,39.5229,305
AMD,growth-evaluator,2026-03-02,343.979499,193.81,Information Technology,68.1909,161,88.668,58,99.006,6,74.3539,117
ANET,growth-evaluator,2026-03-02,514.204911,129.65,Information Technology,98.8072,7,97.4155,14,97.6143,13,98.5686,6
CINF,growth-evaluator,2026-03-02,405.712431,164.32,Financials,77.336,115,40.3579,301,97.2167,15,81.3121,81
FIX,growth-evaluator,2026-03-02,47.43203,1405.52,Industrials,98.0119,11,98.0119,11,98.6083,8,98.1312,8
GOOG,growth-evaluator,2026-03-02,220.072844,302.93,Communication Services,96.7197,17,94.831,27,97.8131,12,96.9384,16
GOOGL,growth-evaluator,2026-03-02,219.927644,303.13,Communication Services,96.7197,17,94.6322,28,98.0119,11,96.9781,15
HAS,growth-evaluator,2026-03-02,676.853309,98.495,Consumer Discretionary,91.6501,43,85.2883,75,99.6024,3,93.2406,29
MSFT,growth-evaluator,2026-03-02,169.738942,392.76,Information Technology,94.2346,30,94.4334,29,98.4095,9,95.0696,19
MU,growth-evaluator,2026-03-02,166.056409,401.47,Information Technology,99.4036,4,99.8012,2,99.2048,5,99.3638,4
NVDA,growth-evaluator,2026-03-02,381.388253,174.8,Information Technology,99.6024,3,96.6203,18,99.4036,4,99.5626,3
PLTR,growth-evaluator,2026-03-02,473.568934,140.775,Information Technology,99.8012,2,97.6143,13,100.0,1,99.841,2
SNDK,growth-evaluator,2026-03-02,107.762395,618.645,Information Technology,100.0,1,98.4095,9,99.8012,2,99.9602,1
TER,growth-evaluator,2026-03-02,214.707461,310.5,Information Technology,99.2048,5,98.8072,7,98.8072,7,99.1252,5
UHS,growth-evaluator,2026-03-02,328.035559,203.23,Health Care,85.0895,76,73.3598,135,97.4155,14,87.5547,53
AMAT,ml-model-1,2026-03-02,180.771351,368.79,Information Technology,97.6143,13,97.8131,12,95.6262,23,97.2167,13
ANET,ml-model-1,2026-03-02,514.204911,129.65,Information Technology,98.8072,7,97.4155,14,97.6143,13,98.5686,6
AVGO,ml-model-1,2026-03-02,215.498664,309.36,Information Technology,98.6083,8,95.6262,23,95.0298,26,97.8926,10
BA,ml-model-1,2026-03-02,294.985251,226.0,Industrials,98.2107,10,95.825,22,93.837,32,97.336,11
FIX,ml-model-1,2026-03-02,47.43203,1405.52,Industrials,98.0119,11,98.0119,11,98.6083,8,98.1312,8
FTNT,ml-model-1,2026-03-02,851.534892,78.29,Information Technology,97.4155,14,95.0298,26,96.6203,18,97.2565,12
MNST,ml-model-1,2026-03-02,787.696186,84.635,Consumer Staples,97.2167,15,91.6501,43,97.0179,16,97.1769,14
MU,ml-model-1,2026-03-02,166.056409,401.47,Information Technology,99.4036,4,99.8012,2,99.2048,5,99.3638,4
NVDA,ml-model-1,2026-03-02,381.388253,174.8,Information Technology,99.6024,3,96.6203,18,99.4036,4,99.5626,3
PLTR,ml-model-1,2026-03-02,473.568934,140.775,Information Technology,99.8012,2,97.6143,13,100.0,1,99.841,2
SNDK,ml-model-1,2026-03-02,107.762395,618.645,Information Technology,100.0,1,98.4095,9,99.8012,2,99.9602,1
SOLV,ml-model-1,2026-03-02,909.132233,73.33,Health Care,98.4095,9,94.0358,31,96.8191,17,98.0915,9
STX,ml-model-1,2026-03-02,169.380997,393.59,Information Technology,97.8131,12,99.6024,3,87.0775,66,95.666,17
TER,ml-model-1,2026-03-02,214.707461,310.5,Information Technology,99.2048,5,98.8072,7,98.8072,7,99.1252,5
TPR,ml-model-1,2026-03-02,439.000834,151.86,Consumer Discretionary,99.006,6,96.4215,19,96.2227,20,98.4493,7
AMAT,ml-model-2,2026-03-02,180.771351,368.79,Information Technology,97.6143,13,97.8131,12,95.6262,23,97.2167,13
ANET,ml-model-2,2026-03-02,514.204911,129.65,Information Technology,98.8072,7,97.4155,14,97.6143,13,98.5686,6
FIX,ml-model-2,2026-03-02,47.43203,1405.52,Industrials,98.0119,11,98.0119,11,98.6083,8,98.1312,8
GEV,ml-model-2,2026-03-02,77.071291,865.0,Industrials,93.0417,36,99.4036,4,90.2584,49,92.4851,33
KLAC,ml-model-2,2026-03-02,45.19774,1475.0,Information Technology,90.2584,50,99.006,6,79.7217,103,88.1511,50
LRCX,ml-model-2,2026-03-02,290.765294,229.28,Information Technology,92.2465,40,98.6083,8,87.8728,62,91.3718,37
MGM,ml-model-2,2026-03-02,1863.238308,35.78,Consumer Discretionary,89.4632,54,97.2167,15,77.7336,113,87.1173,58
MU,ml-model-2,2026-03-02,166.056409,401.47,Information Technology,99.4036,4,99.8012,2,99.2048,5,99.3638,4
PLTR,ml-model-2,2026-03-02,473.568934,140.775,Information Technology,99.8012,2,97.6143,13,100.0,1,99.841,2
SNDK,ml-model-2,2026-03-02,107.762395,618.645,Information Technology,100.0,1,98.4095,9,99.8012,2,99.9602,1
STX,ml-model-2,2026-03-02,169.380997,393.59,Information Technology,97.8131,12,99.6024,3,87.0775,66,95.666,17
TER,ml-model-2,2026-03-02,214.707461,310.5,Information Technology,99.2048,5,98.8072,7,98.8072,7,99.1252,5
TPL,ml-model-2,2026-03-02,123.915737,538.0,Energy,95.825,22,98.2107,10,91.3717,44,94.9344,21
TTD,ml-model-2,2026-03-02,2878.526195,23.16,Communication Services,95.4274,24,100.0,1,83.1014,86,92.9622,31
WDC,ml-model-2,2026-03-02,246.822165,270.1,Information Technology,87.4751,64,99.2048,5,88.8668,57,87.7535,52
