ticker,portfolio,eval_date,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
SNDK,ensemble,2026-04-29,100.0,1,99.60159362549801,3,93.22709163346613,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
TER,ensemble,2026-04-29,99.800796812749,2,98.80478087649402,7,95.81673306772909,22,100.0,1,99.60159362549801,2,98.80478087649402,2
FIX,ensemble,2026-04-29,99.40239043824701,4,99.00398406374502,6,89.44223107569721,54,99.40239043824701,4,99.32270916334662,3,97.33067729083665,5
PLTR,ensemble,2026-04-29,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996015,41,99.20318725099604,4,99.32270916334662,1
WDC,ensemble,2026-04-29,98.60557768924303,8,98.20717131474103,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
ANET,ensemble,2026-04-29,98.80478087649402,7,96.41434262948208,19,97.41035856573706,14,86.05577689243027,71,98.32669322709164,6,98.04780876494024,4
NVDA,ensemble,2026-04-29,97.80876494023904,12,99.800796812749,2,84.4621513944223,79,55.87649402390438,224,98.20717131474105,7,95.5378486055777,14
LRCX,ensemble,2026-04-29,98.00796812749005,11,98.60557768924303,8,92.82868525896414,37,91.63346613545816,43,98.12749003984065,8,97.09163346613545,6
MU,ensemble,2026-04-29,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258965,9,96.05577689243029,12
HAS,ensemble,2026-04-29,98.20717131474103,10,95.2191235059761,25,89.2430278884462,55,73.10756972111554,136,97.60956175298806,10,95.81673306772907,13
GEV,ensemble,2026-04-29,99.60159362549801,3,88.64541832669323,58,81.87250996015936,92,79.4820717131474,104,97.41035856573707,11,93.86454183266932,19
FTNT,ensemble,2026-04-29,99.00398406374502,6,91.03585657370517,46,96.01593625498009,21,66.73306772908366,168,97.41035856573706,12,96.81274900398407,7
APP,ensemble,2026-04-29,96.61354581673307,18,98.00796812749005,11,95.2191235059761,25,91.83266932270917,42,96.89243027888448,13,96.61354581673307,9
CVNA,ensemble,2026-04-29,96.81274900398407,17,96.81274900398407,17,82.07171314741036,91,95.81673306772909,22,96.81274900398407,14,93.86454183266933,18
STX,ensemble,2026-04-29,98.40637450199203,9,89.8406374501992,52,95.61752988047809,23,98.80478087649402,7,96.69322709163347,15,96.13545816733067,11
PLTR,ensemble-cb,2026-04-29,99.20318725099602,5,99.20318725099602,5,99.800796812749,2,92.03187250996015,41,99.20318725099604,4,99.32270916334662,1
TER,ensemble-cb,2026-04-29,99.800796812749,2,98.80478087649402,7,95.81673306772909,22,100.0,1,99.60159362549801,2,98.80478087649402,2
SNDK,ensemble-cb,2026-04-29,100.0,1,99.60159362549801,3,93.22709163346613,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
ANET,ensemble-cb,2026-04-29,98.80478087649402,7,96.41434262948208,19,97.41035856573706,14,86.05577689243027,71,98.32669322709164,6,98.04780876494024,4
