ticker,portfolio,fill_date,shares,entry_price,sector,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
MU,ensemble,2026-06-30,80.377732,1144.73,Information Technology,99.8,2,99.2,5,98.8,7,99.8,2,99.68,1,99.48,2
SNDK,ensemble,2026-06-30,43.62397,2109.1799,Information Technology,100.0,1,98.2,10,98.2,10,99.6,3,99.64,2,99.28,3
TER,ensemble,2026-06-30,196.814548,467.5,Information Technology,99.4,4,99.6,3,99.8,2,96.6,18,99.44,3,99.52,1
WDC,ensemble,2026-06-30,145.241991,633.5,Information Technology,99.0,6,99.4,4,98.6,8,99.4,4,99.08,4,99.0,4
STX,ensemble,2026-06-30,95.095706,967.56,Information Technology,99.2,5,97.0,16,100.0,1,98.4,9,98.76000000000002,5,98.92,5
LRCX,ensemble,2026-06-30,221.025731,416.29,Information Technology,99.6,3,93.2,35,99.0,6,98.6,8,98.32,6,98.2,6
FIX,ensemble,2026-06-30,47.209236,1949.0,Industrials,98.2,10,96.4,19,97.0,16,96.4,19,97.84,8,97.6,9
NVDA,ensemble,2026-06-30,466.598045,197.195,Information Technology,97.2,15,100.0,1,92.4,39,93.8,32,97.76,10,96.8,12
FTNT,ensemble,2026-06-30,609.181683,151.04,Information Technology,97.8,12,95.6,23,99.2,5,96.2,20,97.36,11,97.64,8
ANET,ensemble,2026-06-30,560.665416,164.11,Information Technology,97.4,14,91.4,44,94.2,30,94.2,30,96.2,15,95.56,15
PLTR,ensemble,2026-06-30,800.720576,114.91,Information Technology,98.6,8,85.6,73,99.6,3,90.6,48,96.0,17,96.2,14
APP,ensemble,2026-06-30,186.35099,493.75,Information Technology,94.4,29,95.0,26,95.2,25,92.8,37,94.52,25,94.67999999999998,17
GEV,ensemble,2026-06-30,82.373144,1117.0,Utilities,89.0,56,91.8,42,88.4,59,97.8,12,89.56,43,89.44,38
AMAT,ensemble,2026-06-30,131.915127,697.5,Information Technology,98.8,7,94.2,30,99.4,4,97.2,15,97.88,7,98.0,7
META,ensemble,2026-06-30,164.029667,560.94,Communication Services,97.6,13,98.6,8,68.8,157,76.6,118,97.8,9,92.04,30
TER,ensemble-cb,2026-06-30,222.767645,467.5,Information Technology,99.4,4,99.6,3,99.8,2,96.6,18,99.44,3,99.52,1
MU,ensemble-cb,2026-06-30,90.976801,1144.73,Information Technology,99.8,2,99.2,5,98.8,7,99.8,2,99.68,1,99.48,2
SNDK,ensemble-cb,2026-06-30,49.376477,2109.1799,Information Technology,100.0,1,98.2,10,98.2,10,99.6,3,99.64,2,99.28,3
WDC,ensemble-cb,2026-06-30,164.394434,633.5,Information Technology,99.0,6,99.4,4,98.6,8,99.4,4,99.08,4,99.0,4
STX,ensemble-cb,2026-06-30,107.635572,967.56,Information Technology,99.2,5,97.0,16,100.0,1,98.4,9,98.76000000000002,5,98.92,5
LRCX,ensemble-cb,2026-06-30,250.171452,416.29,Information Technology,99.6,3,93.2,35,99.0,6,98.6,8,98.32,6,98.2,6
AMAT,ensemble-cb,2026-06-30,149.310213,697.5,Information Technology,98.8,7,94.2,30,99.4,4,97.2,15,97.88,7,98.0,7
FTNT,ensemble-cb,2026-06-30,689.511876,151.04,Information Technology,97.8,12,95.6,23,99.2,5,96.2,20,97.36,11,97.64,8
FIX,ensemble-cb,2026-06-30,53.434517,1949.0,Industrials,98.2,10,96.4,19,97.0,16,96.4,19,97.84,8,97.6,9
NVDA,ensemble-cb,2026-06-30,528.126341,197.195,Information Technology,97.2,15,100.0,1,92.4,39,93.8,32,97.76,10,96.8,12
PLTR,ensemble-cb,2026-06-30,906.308188,114.91,Information Technology,98.6,8,85.6,73,99.6,3,90.6,48,96.0,17,96.2,14
ANET,ensemble-cb,2026-06-30,634.597976,164.11,Information Technology,97.4,14,91.4,44,94.2,30,94.2,30,96.2,15,95.56,15
APP,ensemble-cb,2026-06-30,210.924301,493.75,Information Technology,94.4,29,95.0,26,95.2,25,92.8,37,94.52,25,94.67999999999998,17
APH,ensemble-cb,2026-06-30,622.981838,167.17,Information Technology,91.2,45,77.2,115,88.0,61,89.4,54,88.4,48,87.75999999999999,45
NEM,ensemble-cb,2026-06-30,1109.802577,93.84,Materials,96.6,18,99.8,2,96.6,18,89.8,52,97.24,12,97.23999999999998,10
NVDA,growth-evaluator,2026-06-30,412.87177,197.195,Information Technology,97.2,15,100.0,1,92.4,39,93.8,32,97.76,10,96.8,12
TER,growth-evaluator,2026-06-30,174.152404,467.5,Information Technology,99.4,4,99.6,3,99.8,2,96.6,18,99.44,3,99.52,1
WDC,growth-evaluator,2026-06-30,128.518151,633.5,Information Technology,99.0,6,99.4,4,98.6,8,99.4,4,99.08,4,99.0,4
MU,growth-evaluator,2026-06-30,71.122665,1144.73,Information Technology,99.8,2,99.2,5,98.8,7,99.8,2,99.68,1,99.48,2
GOOG,growth-evaluator,2026-06-30,231.720763,351.355,Communication Services,94.7,27,99.0,6,68.5,158,88.0,61,95.56,18,90.32,34
GOOGL,growth-evaluator,2026-06-30,230.083647,353.855,Communication Services,94.7,28,98.8,7,68.5,159,92.6,38,95.52,20,90.28,35
SNDK,growth-evaluator,2026-06-30,38.600903,2109.1799,Information Technology,100.0,1,98.2,10,98.2,10,99.6,3,99.64,2,99.28,3
FIX,growth-evaluator,2026-06-30,41.773345,1949.0,Industrials,98.2,10,96.4,19,97.0,16,96.4,19,97.84,8,97.6,9
APP,growth-evaluator,2026-06-30,164.893668,493.75,Information Technology,94.4,29,95.0,26,95.2,25,92.8,37,94.52,25,94.67999999999998,17
LRCX,growth-evaluator,2026-06-30,195.575798,416.29,Information Technology,99.6,3,93.2,35,99.0,6,98.6,8,98.32,6,98.2,6
KEYS,growth-evaluator,2026-06-30,238.848384,340.87,Information Technology,96.2,20,92.2,40,86.6,68,96.0,21,95.4,21,93.48,23
NEM,growth-evaluator,2026-06-30,867.607084,93.84,Materials,96.6,18,99.8,2,96.6,18,89.8,52,97.24,12,97.23999999999998,10
META,growth-evaluator,2026-06-30,145.142526,560.94,Communication Services,97.6,13,98.6,8,68.8,157,76.6,118,97.8,9,92.04,30
